,tracker_rows,folder,num,user,face_presence,sess_duration,fps
0,17650,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_90/1,1,user_90,588798.7570800781,588797.9501953125,29.97628610414943
1,13932,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_97/1,1,user_97,474230.5388183594,474305.14501953125,29.378116463596747
2,7735,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_52/1,1,user_52,381001.6083984375,381012.8898925781,20.431352816872227
3,12283,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_99/1,1,user_99,415918.63671875,415970.5100097656,29.532218361029916
4,10613,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_39/1,1,user_39,354106.6188964844,354116.705078125,29.971199163330205
5,12114,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_53/1,1,user_53,404413.0625,404417.0,29.954522055033767
6,9643,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_54/1,1,user_54,321753.95263671875,321750.4099121094,29.970105793502334
7,4498,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_31/1,1,user_31,230835.69360351562,230853.169921875,19.485721336171622
8,4762,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_36/1,1,user_36,314781.2033691406,314874.0500488281,28.13473611327631
11,4291,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_78/1,1,user_78,151687.67333984375,151701.5849609375,28.28838959370395
12,12415,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_47/1,1,user_47,167018.88159179688,414352.5500488281,29.961946228848973
13,10338,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_40/1,1,user_40,181062.693359375,181066.31518554688,59.986909975876394
14,11661,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_82/1,1,user_82,388647.69140625,388655.9599609375,30.00403773866975
15,13298,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_71/1,1,user_71,456702.5583496094,456699.1748046875,29.11741954775799
16,3385,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_85/1,1,user_85,116914.35327148438,117732.90014648438,29.329016399913115
17,13444,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_15/1,1,user_15,448984.5263671875,448999.3298339844,29.94312545418382
18,8379,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_48/1,1,user_48,288446.67041015625,288485.18505859375,29.048697244747167
19,7904,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_1/1,1,user_1,264002.21142578125,265280.0,29.7999423601297
20,15124,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_8/1,1,user_8,514012.4326171875,514600.8898925781,29.61359836554444
21,12628,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_9/1,1,user_9,421319.0126953125,421378.68994140625,29.97018601917612
22,16996,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_7/1,1,user_7,599713.8449707031,599859.3701171875,28.340182809736998
23,7014,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_0/1,1,user_0,258820.77490234375,258970.71508789062,27.09202040776374
24,4764,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_93/1,1,user_93,166034.14501953125,166062.33520507812,28.692893256622558
25,5865,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_56/1,1,user_56,197012.0,197055.0,29.769760217651715
26,10650,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_32/1,1,user_32,355266.5217285156,355263.4050292969,29.97749393380337
27,12642,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_57/1,1,user_57,421533.40625,421610.1750488281,29.985761659457825
28,15224,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_95/1,1,user_95,521123.21875,521207.81494140625,29.845239623968737
29,8111,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_86/1,1,user_86,273654.4880371094,273681.66015625,29.639565052191266
30,8816,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_17/1,1,user_17,289952.98876953125,294133.9050292969,29.973329264280775
31,9758,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_28/1,1,user_28,326079.287109375,326069.0400390625,29.925237160883903
32,12347,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_87/1,1,user_87,421272.7763671875,421956.0749511719,29.259588953904444
33,6171,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_45/1,1,user_45,227737.9052734375,227773.86010742188,27.82796191111392
34,12537,dataset_journalists/eye_tracking_recordings/Нейтральні тексти/user_11/1,1,user_11,412927.50146484375,431272.3698730469,29.071879613568914
37,15878,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_2/1,1,user_2,227193.6181640625,227201.38500976562,69.88752645566865
38,4177,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_4/1,1,user_4,139967.97045898438,141321.89501953125,29.55911138541985
39,9964,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_64/1,1,user_64,332379.12060546875,332403.705078125,29.97781563971097
40,13856,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_55/1,1,user_55,463538.02001953125,463560.23486328125,29.891830662382723
41,9447,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_37/1,1,user_37,313208.13916015625,315227.5349121094,29.97068474645823
42,12281,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_98/1,1,user_98,410086.0402832031,410096.7399902344,29.94737394991258
43,10658,dataset_journalists/eye_tracking_recordings/Позитивні тексти/user_65/1,1,user_65,355692.06201171875,355716.544921875,29.96412104256872
